"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",1986,"M",1495053,21302,86618,102256,99913,112229,128948,136914,132603,126360,100523,80578,74046,72905,65737,54598,44842,28752,16234,6645,3050
"0","British Columbia",1986,"F",1508568,20292,81194,96953,96263,106011,125693,136372,133578,121904,95146,76110,69588,71930,73557,65835,55351,38093,23865,13024,7809
"0","British Columbia",1986,"T",3003621,41594,167812,199209,196176,218240,254641,273286,266181,248264,195669,156688,143634,144835,139294,120433,100193,66845,40099,19669,10859
"0","British Columbia",1987,"M",1516914,21516,87216,104618,100301,111452,124741,138285,134592,126960,107981,83853,74176,73952,66709,57481,45745,30090,17035,7134,3077
"0","British Columbia",1987,"F",1531737,20578,82140,99202,96196,105554,121042,136718,136310,123603,102848,79543,70259,71791,73227,68855,56904,40359,24993,13564,8051
"0","British Columbia",1987,"T",3048651,42094,169356,203820,196497,217006,245783,275003,270902,250563,210829,163396,144435,145743,139936,126336,102649,70449,42028,20698,11128
"0","British Columbia",1988,"M",1548973,21326,88559,108250,101922,111430,120748,140327,138052,129558,114599,88877,75338,74961,68599,60247,45956,31727,17868,7532,3097
"0","British Columbia",1988,"F",1565788,20615,83979,102419,97253,106453,117117,138875,139841,127731,109498,84584,71281,72431,73241,71744,57627,42569,26328,14092,8110
"0","British Columbia",1988,"T",3114761,41941,172538,210669,199175,217883,237865,279202,277893,257289,224097,173461,146619,147392,141840,131991,103583,74296,44196,21624,11207
"0","British Columbia",1989,"M",1589728,22424,89648,111678,104763,111144,119311,142994,142311,134153,120852,94326,77450,75729,69963,63553,45981,33523,18654,8137,3134
"0","British Columbia",1989,"F",1606997,21229,85236,105947,99825,106346,115638,141552,143945,133119,116559,89986,73560,72024,73329,74417,58189,45259,27679,14879,8279
"0","British Columbia",1989,"T",3196725,43653,174884,217625,204588,217490,234949,284546,286256,267272,237411,184312,151010,147753,143292,137970,104170,78782,46333,23016,11413
"0","British Columbia",1990,"M",1637852,23350,91196,115621,108003,111827,120431,144884,147535,139016,128954,99240,80074,76323,71990,64760,47632,35616,19444,8613,3343
"0","British Columbia",1990,"F",1654259,22212,86896,109675,102573,107416,116651,142557,148648,138886,125030,95030,76313,72362,73742,74966,60226,47862,29139,15483,8592
"0","British Columbia",1990,"T",3292111,45562,178092,225296,210576,219243,237082,287441,296183,277902,253984,194270,156387,148685,145732,139726,107858,83478,48583,24096,11935
"0","British Columbia",1991,"M",1681631,23171,92639,118158,111403,111285,122052,144444,153256,144607,135994,104726,83634,76978,74095,65628,50154,36723,20045,9041,3598
"0","British Columbia",1991,"F",1692156,22512,88642,112448,105817,106253,117362,139875,152090,144297,132724,99878,80340,72886,74133,74917,62956,49314,30637,16035,9040
"0","British Columbia",1991,"T",3373787,45683,181281,230606,217220,217538,239414,284319,305346,288904,268718,204604,163974,149864,148228,140545,113110,86037,50682,25076,12638
"0","British Columbia",1992,"M",1727639,24033,95081,120880,116010,113409,125052,143585,157130,149188,138446,113888,87583,77303,75771,66185,52749,37204,21001,9420,3721
"0","British Columbia",1992,"F",1741163,22667,91051,115144,110464,106915,120810,139231,155396,150348,135893,109672,84816,74504,74693,74450,66034,50557,32411,16736,9371
"0","British Columbia",1992,"T",3468802,46700,186132,236024,226474,220324,245862,282816,312526,299536,274339,223560,172399,151807,150464,140635,118783,87761,53412,26156,13092
"0","British Columbia",1993,"M",1776929,23797,98013,122892,120750,116030,127739,143100,161803,155019,142194,121878,92905,78715,76957,67275,54938,37280,22073,9725,3846
"0","British Columbia",1993,"F",1790843,22784,93320,117282,114789,108664,123518,138391,159139,156198,140710,118358,90276,76548,75779,74112,68652,51175,34081,17571,9496
"0","British Columbia",1993,"T",3567772,46581,191333,240174,235539,224694,251257,281491,320942,311217,282904,240236,183181,155263,152736,141387,123590,88455,56154,27296,13342
"0","British Columbia",1994,"M",1832241,24080,99187,125634,125201,120753,129373,144351,166941,160445,147847,129529,98572,81261,78227,68533,57448,37286,23406,10158,4009
"0","British Columbia",1994,"F",1843834,22676,94725,119274,119379,112581,124476,138614,162811,161326,146808,127075,96584,79949,76067,74215,71148,51498,36328,18521,9779
